"id","company_id","name","com_name","group_id","is_ifp","player_os_version","model_id","model_name","created_at"
"5938","2600","臺中市立大道國中","Taiwan","4441","1","5.0.1","37","RP755S","2019-07-11 02:03:15"
"5939","2600","臺中市立大道國中","Taiwan","4441","1","5.0.1","37","RP755S","2019-07-11 02:16:13"
"5940","2600","臺中市立大道國中","Taiwan","4441","1","5.0.1","37","RP755S","2019-07-11 02:43:27"
"5941","2600","臺中市立大道國中","Taiwan","4441","1","5.0.1","37","RP755S","2019-07-11 02:47:55"
"5942","2600","臺中市立大道國中","Taiwan","4441","1","5.0.1","37","RP755S","2019-07-11 03:09:57"
"5943","2600","臺中市立大道國中","Taiwan","4441","1","5.0.1","37","RP755S","2019-07-11 03:22:20"
"4522","2623","台北市立實踐國中","Taiwan","4489","1","5.1.1","20","RP860K","2019-02-27 06:25:00"
"4629","2623","台北市立實踐國中","Taiwan","4489","1","5.1.1","20","RP860K","2019-03-05 03:58:32"
"4750","2623","台北市立實踐國中","Taiwan","4489","1","5.1.1","20","RP860K","2019-03-20 01:28:26"
"5444","2623","台北市立實踐國中","Taiwan","4489","1","5.1.1","20","RP860K","2019-06-03 06:24:23"
"5445","2623","台北市立實踐國中","Taiwan","4489","1","5.1.1","20","RP860K","2019-06-03 06:30:03"
"5447","2623","台北市立實踐國中","Taiwan","4489","1","5.1.1","20","RP860K","2019-06-03 06:46:03"
"5448","2623","台北市立實踐國中","Taiwan","4489","1","5.1.1","20","RP860K","2019-06-03 06:50:18"
"5450","2623","台北市立實踐國中","Taiwan","4489","1","5.1.1","20","RP860K","2019-06-03 06:56:54"
"5451","2623","台北市立實踐國中","Taiwan","4489","1","5.1.1","20","RP860K","2019-06-03 07:01:43"
"5452","2623","台北市立實踐國中","Taiwan","4489","1","5.1.1","20","RP860K","2019-06-03 07:04:12"
"5453","2623","台北市立實踐國中","Taiwan","4489","1","5.1.1","20","RP860K","2019-06-03 07:07:13"
